
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1855,,,,,,,,,,,,
1856,,,,,,,,,,,,
1857,,,,,,,,,,,,
1858,,,,,,,,,,,,
1859,,,,,,,,,,,,
1860,,,,,,,,,,,,
1861,,,,,,,,,,,,
1862,,,,,,,,,,,,
1863,,,,,,,,,,,,
1864,,,,,,,,,,,,
1865,,,,,,,,,,,,
1866,1007.2,1006.3,1008.3,1009.7,1010.7,1013.1,1013.1,1013.0,1011.8,1010.6,1008.7,1007.8
1867,1007.4,1006.4,1008.7,1009.7,1010.7,1012.4,1012.8,1012.4,1011.3,1009.6,1010.5,1007.9
1868,1006.0,1006.9,1008.4,1010.2,1012.4,1013.7,1013.4,1013.5,1012.5,1011.3,1010.5,1007.7
1869,1007.7,1007.4,1009.7,1006.8,1009.3,1011.0,1012.5,1011.3,1011.5,1009.1,1007.8,1006.1
1870,1003.9,1005.2,1008.9,1010.0,1011.8,1013.3,1012.7,1011.6,1011.7,1011.0,1009.4,1008.9
1871,1006.9,1007.1,1009.5,1009.6,1011.2,1012.4,1013.0,1012.7,1011.6,1010.1,1008.2,1007.2
1872,1003.2,1005.0,1005.6,1011.7,1010.1,1010.0,1010.9,1011.5,1009.9,1009.0,1007.2,1004.6
1873,1003.7,1007.3,1008.5,1010.1,1013.1,1016.7,1015.3,1013.6,1015.0,1011.0,1008.9,1005.0
1874,1005.9,1008.2,1009.4,1009.4,1010.2,1013.4,1013.2,1012.9,1010.8,1008.6,1008.7,1004.9
1875,1006.0,1006.4,1009.6,1009.4,1010.6,1011.0,1012.8,1012.9,1010.5,1007.6,1009.0,1006.8
1876,1004.8,1005.3,1006.4,1008.2,1010.9,1012.1,1014.3,1012.8,1011.6,1011.0,1008.6,1008.8
1877,1006.8,1007.7,1007.4,1010.9,1011.1,1014.9,1014.8,1013.9,1013.8,1012.6,1010.3,1008.7
1878,1006.8,1009.3,1008.3,1009.7,1010.6,1012.4,1011.7,1013.1,1010.2,1009.2,1008.2,1005.1
1879,1005.1,1005.3,1007.0,1009.3,1010.6,1011.9,1011.7,1011.6,1011.1,1009.9,1007.7,1006.8
1880,1004.3,1006.8,1006.7,1010.0,1010.3,1012.4,1014.1,1013.0,1012.5,1011.6,1009.8,1008.2
1881,1006.9,1007.3,1009.2,1011.3,1010.9,1012.5,1014.3,1014.1,1013.1,1012.7,1007.8,1006.5
1882,1006.4,1006.4,1007.4,1008.5,1009.5,1012.2,1013.2,1013.2,1011.8,1009.4,1009.5,1005.7
1883,1007.4,1006.6,1009.1,1008.5,1010.5,1012.5,1012.9,1011.8,1011.8,1010.1,1007.1,1006.8
1884,1007.4,1007.4,1007.4,1011.2,1011.2,1012.5,1013.2,1012.5,1012.2,1010.8,1009.1,1007.4
1885,1007.4,1006.4,1008.5,1010.5,1012.9,1013.5,1014.2,1013.2,1013.2,1012.5,1011.2,1007.1
1886,1007.8,1005.7,1008.5,1009.1,1010.5,1012.2,1011.8,1011.2,1010.8,1009.8,1008.1,1004.4
1887,1005.7,1004.7,1007.1,1008.5,1010.8,1012.5,1013.5,1012.5,1012.2,1011.2,1009.5,1008.1
1888,1005.4,1007.1,1009.8,1010.5,1011.2,1013.2,1013.9,1013.5,1012.5,1012.2,1009.8,1008.8
1889,1009.1,1008.5,1010.1,1010.1,1011.2,1011.2,1012.9,1012.9,1010.8,1010.1,1005.7,1004.4
1890,1004.0,1006.4,1006.8,1008.8,1010.8,1011.5,1012.5,1012.2,1010.5,1009.8,1009.1,1007.4
1891,1005.4,1006.8,1009.1,1010.1,1012.2,1013.2,1014.2,1014.9,1013.9,1011.5,1010.1,1008.8
1892,1006.4,1008.1,1006.1,1009.8,1011.8,1011.8,1013.2,1012.2,1011.2,1009.1,1008.1,1007.1
1893,1005.7,1005.7,1008.8,1009.1,1011.2,1011.8,1012.2,1013.2,1011.5,1009.5,1008.8,1007.8
1894,1003.4,1006.1,1007.4,1009.5,1011.8,1012.9,1013.9,1012.5,1012.2,1010.8,1009.1,1007.8
1895,1005.4,1007.1,1008.5,1010.1,1012.2,1012.9,1012.9,1012.5,1011.8,1010.8,1010.8,1007.8
1896,1006.1,1006.1,1007.8,1009.1,1013.9,1013.2,1013.5,1014.9,1013.5,1012.9,1010.1,1009.5
1897,1007.8,1007.4,1009.8,1010.8,1012.5,1012.5,1013.9,1013.2,1011.8,1010.8,1009.1,1005.7
1898,1006.1,1005.1,1004.0,1009.1,1011.5,1012.2,1013.2,1012.5,1010.8,1009.5,1006.8,1006.1
1899,1005.4,1007.1,1006.1,1009.1,1011.5,1013.2,1013.5,1012.9,1012.5,1011.9,1009.8,1008.1
1900,1007.8,1008.1,1009.8,1010.8,1011.5,1011.9,1012.2,1011.2,1011.5,1010.5,1009.1,1008.5
1901,1006.4,1006.8,1007.5,1009.8,1011.5,1012.2,1013.2,1013.2,1012.9,1010.5,1009.8,1007.5
1902,1005.8,1008.1,1008.1,1010.2,1012.9,1013.2,1013.9,1013.5,1013.5,1012.2,1010.8,1008.5
1903,1008.1,1008.5,1005.8,1009.1,1011.2,1012.9,1011.5,1012.9,1011.2,1010.2,1008.5,1005.4
1904,1005.8,1005.4,1007.1,1007.5,1010.8,1013.2,1013.2,1013.2,1012.2,1009.8,1010.2,1007.8
1905,1007.8,1007.8,1010.8,1010.8,1011.2,1012.9,1013.9,1013.5,1011.9,1010.2,1010.8,1008.5
1906,1006.4,1007.1,1008.5,1009.8,1011.2,1012.2,1011.9,1012.5,1010.5,1009.8,1007.1,1006.8
1907,1005.1,1006.1,1008.1,1009.8,1011.5,1011.5,1012.5,1012.9,1012.2,1010.5,1008.8,1005.8
1908,1007.8,1005.4,1007.1,1008.1,1011.2,1012.9,1012.9,1012.5,1011.9,1010.2,1008.5,1007.1
1909,1005.8,1007.8,1005.8,1009.8,1010.5,1011.5,1012.2,1011.9,1011.2,1009.5,1008.1,1006.8
1910,1004.4,1005.1,1006.8,1008.1,1011.2,1011.2,1011.9,1011.9,1010.5,1010.5,1007.1,1005.8
1911,1005.4,1005.8,1007.8,1008.5,1011.9,1013.9,1013.5,1013.5,1012.2,1011.9,1009.8,1007.5
1912,1007.5,1009.1,1008.1,1011.5,1012.5,1012.5,1011.9,1013.2,1011.2,1011.2,1008.8,1008.5
1913,1006.1,1007.1,1006.8,1009.5,1012.5,1013.2,1013.9,1012.9,1013.2,1011.9,1010.2,1008.1
1914,1008.5,1008.5,1007.5,1010.5,1011.2,1013.5,1014.2,1014.9,1013.5,1013.5,1010.8,1008.5
1915,1008.5,1007.8,1010.5,1011.2,1011.9,1011.9,1011.9,1012.5,1010.5,1009.8,1008.5,1005.4
1916,1005.1,1006.1,1007.5,1009.8,1009.8,1010.5,1011.2,1012.2,1010.8,1009.1,1007.8,1004.1
1917,1006.1,1007.5,1005.8,1008.5,1010.5,1011.2,1010.8,1010.8,1010.5,1009.8,1007.5,1005.1
1918,1005.4,1005.4,1008.8,1009.1,1010.8,1012.5,1013.9,1013.5,1014.2,1011.2,1009.1,1008.1
1919,1007.1,1008.8,1008.5,1009.5,1010.8,1012.9,1013.2,1013.5,1012.5,1011.2,1009.8,1008.1
1920,1005.1,1006.8,1008.8,1008.8,1010.8,1010.2,1011.2,1011.9,1011.2,1010.2,1008.5,1005.4
